respondent_id,persona_label,q1_age_group,q2_activity_last_4weeks,q3_city_tier,q4_monthly_income,q5_fitness_goal,q6_motivation_type,q7_activity_level,q8_workout_home_workout,q8_workout_gym_weights,q8_workout_yoga_pilates,q8_workout_running_walking,q8_workout_hiit_functional,q8_workout_sports_outdoor,q8_workout_dance_zumba,q8_workout_no_exercise,q9_workout_time,q10_motivation_score,q11_diet_preference,q12_self_efficacy_score,q13_junk_food_frequency,q14_tech_adoption,q15_stress_level,q16_health_diabetes,q16_health_hypertension,q16_health_thyroid,q16_health_pcod_pcos,q16_health_joint_back_pain,q16_health_heart_condition,q16_health_none,q17_past_app_usage,q18_biggest_barrier,q19_current_fitness_spend,q20_willingness_to_pay,q21_addon_live_coaching,q21_addon_wearable_integration,q21_addon_supplements,q21_addon_dna_blood_test,q21_addon_corporate_team_plan,q21_addon_mental_wellness,q21_addon_no_addons,q22_data_comfort,q23_feature_rank1,q23_feature_rank2,q23_feature_rank3,q24_forced_tradeoff,q25_subscription_intent
RESP_0001,Budget-Conscious Student,18-24,0 times,Tier 3,,General fitness,Energy and health,Highly active,1,0,1,1,0,1,0,0,Afternoon (12-4PM),4,Vegetarian,4,Daily,Tried but stopped,4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,No but interested,AI scepticism,1-500,Nothing (free only),0,0,1,1,0,0,1,Neutral,community_challenges,indian_diet_plans,diet_calorie_tracking,AI personalisation,Undecided
RESP_0002,Fitness Enthusiast,35-44,9-12 times,Tier 2,50000-100000,Muscle gain,Energy and health,Athlete,1,1,0,1,0,1,0,0,Morning (7-10AM),4,Vegetarian,4,Sometimes,Use 2+ apps actively,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,No but interested,Habit/consistency,1501-3000,1000+/month,0,1,1,0,0,0,0,Very comfortable,community_challenges,recovery_sleep_tracking,progress_dashboards,Proven measurable results,Not Interested
RESP_0003,Sedentary Skeptic,25-34,1-4 times,Tier 2,50000-100000,General fitness,Social pressure,Sedentary,0,0,0,0,0,0,0,0,Evening (5-8PM),2,Vegetarian,1,Rarely,Open but not started,4,0.0,0.0,0.0,0.0,1.0,0.0,0.0,No and not interested,Cost,0,99-299/month,0,0,0,0,0,0,1,Very comfortable,gamification_rewards,diet_calorie_tracking,progress_dashboards,Proven measurable results,Not Interested
RESP_0004,Health-Driven Middle-Ager,35-44,13+ times,Metro,100000-200000,Managing health condition,Manage/prevent condition,Moderately active,1,0,0,0,0,1,1,0,Morning (7-10AM),4,Vegetarian,5,Rarely,Open but not started,4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,No but interested,AI scepticism,1501-3000,Nothing (free only),1,0,1,0,0,0,0,Comfortable if secure,diet_calorie_tracking,ai_workout_plans,live_coach_access,Human coach access,Not Interested
RESP_0005,Aspiring Urban Professional,35-44,9-12 times,Tier 2,100000-200000,Flexibility,Manage/prevent condition,Moderately active,1,1,0,0,0,0,0,0,Morning (7-10AM),3,Eggetarian,4,Daily,Use 2+ apps actively,3,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Yes used before stopped,No significant barrier,501-1500,600-999/month,1,0,0,1,0,1,0,Comfortable if secure,live_coach_access,diet_calorie_tracking,recovery_sleep_tracking,Low price,Not Interested
RESP_0006,Aspiring Urban Professional,35-44,9-12 times,Metro,Above 200000,Weight loss,Look better/confident,Highly active,1,0,0,0,0,1,0,0,Early morning (<7AM),3,Non-vegetarian,3,Often,Open but not started,3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Yes currently using,AI scepticism,3001-5000,300-599/month,0,0,0,1,0,0,0,Comfortable if secure,diet_calorie_tracking,progress_dashboards,indian_diet_plans,AI personalisation,Interested
RESP_0007,Aspiring Urban Professional,35-44,0 times,Metro,100000-200000,Weight loss,Energy and health,Moderately active,0,0,0,1,0,0,0,0,Early morning (<7AM),5,Non-vegetarian,3,Sometimes,Open but not started,3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Yes used before stopped,No significant barrier,1501-3000,Nothing (free only),0,1,0,0,1,0,0,Uncomfortable,community_challenges,diet_calorie_tracking,progress_dashboards,Community features,Not Interested
RESP_0008,Homemaker Wellness Seeker,35-44,9-12 times,Metro,100000-200000,Weight loss,Enjoy being active,Lightly active,0,0,0,1,0,0,0,0,Morning (7-10AM),2,Non-vegetarian,4,Sometimes,Open but not started,4,0.0,1.0,0.0,0.0,0.0,0.0,0.0,Yes used before stopped,No significant barrier,0,99-299/month,1,1,0,0,0,0,1,Comfortable if secure,community_challenges,progress_dashboards,gamification_rewards,Human coach access,Not Interested
RESP_0009,Health-Driven Middle-Ager,45-54,5-8 times,Tier 2,50000-100000,Managing health condition,Manage/prevent condition,Highly active,0,0,0,1,0,0,0,0,Evening (5-8PM),3,Eggetarian,4,Rarely,Tried but stopped,2,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Yes currently using,Cost,501-1500,300-599/month,0,0,1,0,0,0,0,Comfortable if secure,ai_workout_plans,live_coach_access,indian_diet_plans,Human coach access,Interested
RESP_0010,Sedentary Skeptic,18-24,0 times,Metro,Below 25000,General fitness,Energy and health,Moderately active,0,0,0,0,0,0,0,1,No fixed preference,1,Vegetarian,2,Often,Tried but stopped,2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Yes used before stopped,Cost,1-500,Nothing (free only),0,0,0,0,0,0,0,Comfortable if secure,gamification_rewards,progress_dashboards,diet_calorie_tracking,Community features,Not Interested
